name,area,century,nationality
Miguel López de Legazpi,Philippines,16th,Spanish
Ludwig Leichhardt,Australian interior,19th,German
Jacob Le Maire,"South Pacific (Cape Horn, Tonga Islands, Wallis and Futuna)",17th,Dutch
Gaspar de Lemos,Brazil,15th,Portuguese
Dragutin Lerman,Congo,19th,Croatian
Dragutin Lerman,Congo,20th,Croatian
Mikhail Levashev,"Alaska, Aleutian Islands, Kamchatka Peninsula",18th,Russian
Meriwether Lewis,Western United States,18th,American
Meriwether Lewis,Western United States,19th,American
"Sir Martin Lindsay, 1st Baronet",East Greenland,20th,Scottish
João de Lisboa,"Indian Ocean, Brazil, Uruguay and Argentina",15th,Portuguese
João de Lisboa,"Indian Ocean, Brazil, Uruguay and Argentina",16th,Portuguese
St. George Littledale,Central Asia and North America,19th,English
David Livingstone,Southern and East Africa,19th,Scottish
Louis-Philippe Loncke,"Australia, the Andes and Iceland",21st,Belgian
Jim Lovell,Outer Space,20th,American
Alexander Mackenzie,Canada,18th,Scottish
Alexander Mackenzie,Canada,18th,Canadian
Alexander Mackenzie,Canada,19th,Scottish
Alexander Mackenzie,Canada,19th,Canadian
Ferdinand Magellan,"1st circumnavigation, Philippines, Strait of Malacca, Indian Ocean",15th,Portuguese
Ferdinand Magellan,"1st circumnavigation, Philippines, Strait of Malacca, Indian Ocean",16th,Portuguese
Jacques Mahu,Cape Verde islands,16th,French
Jacques Mahu,Cape Verde islands,16th,Dutch
Alessandro Malaspina,Pacific Ocean,18th,Italian
Alessandro Malaspina,Pacific Ocean,18th,Spanish
Teoberto Maler,Mesoamerica (Mayan remains),19th,German
Teoberto Maler,Mesoamerica (Mayan remains),19th,Italian
George Mallory,Mount Everest,20th,English
Lancelotto Malocello,Lanzarote (Canary Islands),13th,Italian
Lancelotto Malocello,Lanzarote (Canary Islands),14th,Italian
Albert Hastings Markham,Arctic,19th,British
Lourenço Marques,Mozambique,16th,Portuguese
Jacques Marquette,Mississippi River,17th,French
Álvaro Martins,"Newfoundland, Cape of Good Hope",15th,Portuguese
Pedro Mascarenhas,"Indian Ocean, Diego Garcia",16th,Portuguese
John Minor Maury,Darién Gap,19th,American
Douglas Mawson,Antarctica,20th,Australian
Robert McClure,Arctic,19th,Irish
Robert McCormick,Arctic and Antarctic Oceans,19th,British
Álvaro de Mendaña,Pacific Ocean,16th,Spanish
António Lopes Mendes,"Brazil, India",19th,Portuguese
Cristóvão de Mendonça,"East Asia, Australasia",16th,Portuguese
Pedro de Mendoza,South America,16th,Spanish
Jorge de Menezes,Papua New Guinea,16th,Portuguese
Archibald Menzies,"Pacific Ocean, circumnavigation",18th,Scottish
Archibald Menzies,"Pacific Ocean, circumnavigation",19th,Scottish
Alexander von Middendorff,"Siberia, Far East, Lapland, Fergana Valley",19th,Russian
Alexander von Middendorff,"Siberia, Far East, Lapland, Fergana Valley",19th,Baltic
Alexander von Middendorff,"Siberia, Far East, Lapland, Fergana Valley",19th,German
Ejnar Mikkelsen,Greenland,20th,Danish
Nicholas Miklouho-Maclay,New Guinea,19th,Russian
Thomas Mitchell,Australian interior,19th,Scottish
Richard Mohun,Congo Free State,19th,American
Richard Mohun,Congo Free State,20th,American
"Pierre Dugua, Sieur de Mons",North America,16th,French
"Pierre Dugua, Sieur de Mons",North America,17th,French
George Fletcher Moore,Australia,19th,Irish
John Moresby,New Guinea coast,19th,English
Ivan Moskvitin,First European to reach the Sea of Okhotsk,17th,Russian
António Mota,Japan,16th,Portuguese
Henri Mouhot,South East Asia,19th,French
Francisco Antonio Mourelle,Pacific Northwest and Pacific Ocean,18th,Spanish
Bimal Mukherjee,circumnavigation,20th,Indian
Ludvig Mylius-Erichsen,Greenland,20th,Danish
Gustav Nachtigal,Africa[8],19th,German
Naddoddur,Iceland,9th,Norse
Naddoddur,Iceland,9th,Viking
Nain Singh Rawat (Pundit Brothers),"Tibet, Himalayas and Central Asia",19th,Indian
Fridtjof Nansen,Arctic,19th,Norwegian
Fridtjof Nansen,Arctic,20th,Norwegian
José María Narváez,Pacific Northwest,18th,Spanish
Nearchus,"Arabian Sea, Persian Gulf",4th BC,Greek
Nehsi,Land of Punt,15th BC,Egyptian
